Country Initials	Organisation	Network	PPCI&N	Abrev. Net. Name	Net. Type	MCC	MNC	SIM	"Last Update				"
EGY	Etisalat - Misr	Etisalat	Etisalat	Etisalat	GSM 900	602	03	8920033	"2013-02-20				"
EGY	Etisalat - Misr	Etisalat	Etisalat	Etisalat	3G 2100	602	03	8920033	"2013-02-20				"
EGY	Etisalat - Misr	Etisalat	Etisalat	Etisalat	GSM 1800	602	03	8920033	"2013-02-20				"
EGY	Vodafone Egypt Telecommunications S.A.E	vodafone	vodafone EG	voda EG	GSM 900	602	02	892002	"2013-04-09				"
ESP	"Orange Espagne	 S.A.	 sociedad unipersonal"	"Orange Espagne	 S.A.U	 sociedad unipersonal"	Orange SP	ESPRT	3G 2100	214	03	893401	2015-04-28
ESP	"Orange Espagne	 S.A.	 sociedad unipersonal"	"Orange Espagne	 S.A.U	 sociedad unipersonal"	Orange SP	ESPRT	GSM 1800	214	03	893401	2015-04-28
ESP	"Orange Espagne	 S.A.	 sociedad unipersonal"	"Orange Espagne	 S.A.U	 sociedad unipersonal"	Orange SP	ESPRT	GSM 900	214	03	893401	2015-04-28
ESP	Telefónica Móviles España S.A.	Movistar	Movistar	Movistar	3G 2100	214	07	893407	"2012-07-05				"
ESP	Telefónica Móviles España S.A.	Movistar	Movistar	Movistar	GSM 1800	214	07	893407	"2012-07-05				"
ESP	Telefónica Móviles España S.A.	Movistar	Movistar	Movistar	GSM 900	214	07	893407	"2012-07-05				"
ESP	"Vodafone España	 S.A.U."	vodafone	vodafone ES	voda ES	3G 2100	214	01	893456	"2015-04-28			"
ESP	"Vodafone España	 S.A.U."	vodafone	vodafone ES	voda ES	GSM 900	214	01	893456	"2015-04-28			"
ESP	"Vodafone España	 S.A.U."	vodafone	vodafone ES	voda ES	GSM 1800	214	01	893456	"2015-04-28			"
ESP	"Xfera Móviles	 S.A."	YOIGO	YOIGO	YOIGO	3G 2100	214	04	893404	"2014-12-03			"
ESP	"Xfera Móviles	 S.A."	YOIGO	YOIGO	YOIGO	GSM 1800	214	04	893404	"2014-12-03			"
EST	AS Eesti Telekom	EMT	EMT	EMT	GSM 900	248	01	8937201	"2014-10-03				"
EST	AS Eesti Telekom	EMT	EMT	EMT	LTE 2600	248	01	8937201	"2014-10-03				"
EST	AS Eesti Telekom	EMT	EMT	EMT	3G 2100	248	01	8937201	"2014-10-03				"
EST	AS Eesti Telekom	EMT	EMT	EMT	GSM 1800	248	01	8937201	"2014-10-03				"
EST	Elisa Eesti AS	Elisa Eesti	EE Elisa	Elisa	3G 2100	248	02	8937202	"2014-09-16				"
EST	Elisa Eesti AS	Elisa Eesti	EE Elisa	Elisa	GSM 1800	248	02	8937202	"2014-09-16				"
EST	Elisa Eesti AS	Elisa Eesti	EE Elisa	Elisa	GSM 900	248	02	8937202	"2014-09-16				"
EST	Tele2 Eesti Aktsiaselts	Tele2	Tele2 EE	Tele2 EE	GSM 1800	248	03	8937203	"2015-02-04				"
EST	Tele2 Eesti Aktsiaselts	Tele2	Tele2 EE	Tele2 EE	GSM 900	248	03	8937203	"2015-02-04				"
ETH	Ethio Telecom	ETH MTN	ETH MTN	ET-MTN	GSM 900	636	01	8925101	"2014-12-03				"
FIN	DNA Ltd	DNA Ltd	FI DNA	DNA	3G 900	244	03	8935804	"2015-04-28				"
FIN	DNA Ltd	DNA Ltd	FI DNA	DNA	GSM 1800	244	03	8935806	"2015-04-28				"
FIN	DNA Ltd	DNA Ltd	FI DNA	DNA	3G 900	244	03	8935806	"2015-04-28				"
FIN	DNA Ltd	DNA Ltd	FI DNA	DNA	3G 2100	244	03	8935806	"2015-04-28				"
FIN	DNA Ltd	DNA Ltd	FI DNA	DNA	GSM 900	244	03	8935806	"2015-04-28				"
FIN	DNA Ltd	DNA Ltd	FI DNA	DNA	3G 2100	244	12	8935806	"2015-04-28				"
FIN	DNA Ltd	DNA Ltd	FI DNA	DNA	GSM 900	244	12	8935806	"2015-04-28				"
FIN	DNA Ltd	DNA Ltd	FI DNA	DNA	GSM 1800	244	12	8935806	"2015-04-28				"
FIN	DNA Ltd	DNA Ltd	FI DNA	DNA	GSM 900	244	12	8935804	"2015-04-28				"
FIN	DNA Ltd	DNA Ltd	FI DNA	DNA	GSM 1800	244	12	8935804	"2015-04-28				"
FIN	DNA Ltd	DNA Ltd	FI DNA	DNA	3G 900	244	03	8935804	"2015-04-28				"
FIN	DNA Ltd	DNA Ltd	FI DNA	DNA	LTE 800	244	12	8935806	"2015-04-28				"
FIN	DNA Ltd	DNA Ltd	FI DNA	DNA	LTE 1800	244	12	8935806	"2015-04-28				"
FIN	DNA Ltd	DNA Ltd	FI DNA	DNA	GSM 1800	244	03	8935804	"2015-04-28				"
FIN	DNA Ltd	DNA Ltd	FI DNA	DNA	GSM 900	244	03	8935804	"2015-04-28				"
FIN	DNA Ltd	DNA Ltd	FI DNA	DNA	3G 900	244	12	8935804	"2015-04-28				"
FIN	DNA Ltd	DNA Ltd	FI DNA	DNA	3G 900	244	12	8935804	"2015-04-28				"
FIN	DNA Ltd	DNA Ltd	FI DNA	DNA	LTE 2600	244	12	8935806	"2015-04-28				"
FIN	DNA Ltd	DNA Ltd	FI DNA	DNA	3G 900	244	12	8935806	"2015-04-28				"
FIN	DNA Ltd	DNA Ltd - SuomenYV	DNA - Sonera FI	SuomenYV	LTE 2600	244	36	8935806	"2015-04-28				"
FIN	DNA Ltd	DNA Ltd - SuomenYV	DNA - Sonera FI	SuomenYV	LTE 1800	244	36	8935806	"2015-04-28				"
FIN	DNA Ltd	DNA Ltd - SuomenYV	DNA - Sonera FI	SuomenYV	3G 2100	244	36	8935806	"2015-04-28				"
FIN	DNA Ltd	DNA Ltd - SuomenYV	DNA - Sonera FI	SuomenYV	LTE 800	244	36	8935806	"2015-04-28				"
FIN	DNA Ltd	DNA Ltd - SuomenYV	DNA - Sonera FI	SuomenYV	GSM 1800	244	36	8935806	"2015-04-28				"
FIN	DNA Ltd	DNA Ltd - SuomenYV	DNA - Sonera FI	SuomenYV	3G 900	244	36	8935806	"2015-04-28				"
FIN	DNA Ltd	DNA Ltd - SuomenYV	DNA - Sonera FI	SuomenYV	GSM 900	244	36	8935806	"2015-04-28				"
FIN	DNA Ltd	Sonera - SuomenYV	DNA - Sonera FI	SuomenYV	GSM 900	244	36	8935801	"2015-04-28				"
FIN	DNA Ltd	Sonera - SuomenYV	DNA - Sonera FI	SuomenYV	LTE 1800	244	36	8935801	"2015-04-28				"
FIN	DNA Ltd	Sonera - SuomenYV	DNA - Sonera FI	SuomenYV	GSM 1800	244	36	8935801	"2015-04-28				"
FIN	DNA Ltd	Sonera - SuomenYV	DNA - Sonera FI	SuomenYV	LTE 800	244	36	8935801	"2015-04-28				"
FIN	DNA Ltd	Sonera - SuomenYV	DNA - Sonera FI	SuomenYV	LTE 2600	244	36	8935801	"2015-04-28				"
FIN	Elisa Corporation	Elisa Corporation	FI elisa	elisa	3G 2100	244	05	8935802	"2014-04-17				"
FIN	Elisa Corporation	Elisa Corporation	FI elisa	elisa	3G 900	244	05	8935802	"2014-04-17				"
FIN	Elisa Corporation	Elisa Corporation	FI elisa	elisa	GSM 900	244	05	8935802	"2014-04-17				"
FIN	Elisa Corporation	Elisa Corporation	FI elisa	elisa	LTE 1800	244	05	8935802	"2014-04-17				"
FIN	Elisa Corporation	Elisa Corporation	FI elisa	elisa	GSM 1800	244	05	8935809	"2014-04-17				"
FIN	Elisa Corporation	Elisa Corporation	FI elisa	elisa	LTE 2100	244	05	8935809	"2014-04-17				"
FIN	Elisa Corporation	Elisa Corporation	FI elisa	elisa	LTE 1800	244	05	8935809	"2014-04-17				"
FIN	Elisa Corporation	Elisa Corporation	FI elisa	elisa	GSM 900	244	05	8935809	"2014-04-17				"
FIN	Elisa Corporation	Elisa Corporation	FI elisa	elisa	3G 2100	244	05	8935809	"2014-04-17				"
FIN	Elisa Corporation	Elisa Corporation	FI elisa	elisa	LTE 2100	244	05	8935802	"2014-04-17				"
FIN	Elisa Corporation	Elisa Corporation	FI elisa	elisa	3G 900	244	05	8935809	"2014-04-17				"
FIN	Elisa Corporation	Elisa Corporation	FI elisa	elisa	GSM 1800	244	05	8935802	"2014-04-17				"
FIN	TeliaSonera Finland Oyj	SONERA	FI SONERA	SONERA	GSM 900	244	91	8935801	"2015-05-05				"
FIN	TeliaSonera Finland Oyj	SONERA	FI SONERA	SONERA	LTE 2600	244	91	8935801	"2015-05-05				"
FIN	TeliaSonera Finland Oyj	SONERA	FI SONERA	SONERA	GSM 1800	244	91	8935801	"2015-05-05				"
FIN	TeliaSonera Finland Oyj	SONERA	FI SONERA	SONERA	LTE 800	244	91	8935801	"2015-05-05				"
FIN	TeliaSonera Finland Oyj	SONERA	FI SONERA	SONERA	LTE 1800	244	91	8935801	"2015-05-05				"
FIN	TeliaSonera Finland Oyj	SONERA	FI SONERA	SONERA	3G 2100	244	91	8935801	"2015-05-05				"
FIN	TeliaSonera Finland Oyj	Sonera - SuomenYV	DNA-Sonera FI	SuomenYV	LTE 800	244	36	8935801	"2015-05-05				"
FIN	TeliaSonera Finland Oyj	Sonera - SuomenYV	DNA-Sonera FI	SuomenYV	LTE 2600	244	36	8935801	"2015-05-05				"
FIN	TeliaSonera Finland Oyj	Sonera - SuomenYV	DNA-Sonera FI	SuomenYV	LTE 1800	244	36	8935801	"2015-05-05				"
FIN	TeliaSonera Finland Oyj	Sonera - SuomenYV	DNA-Sonera FI	SuomenYV	GSM 1800	244	36	8935801	"2015-05-05				"
FIN	TeliaSonera Finland Oyj	Sonera - SuomenYV	DNA-Sonera FI	SuomenYV	GSM 900	244	36	8935801	"2015-05-05				"
FIN	Ålands Telekommunikation Ab	Alands Telekommunikation Ab	FI AMT	FI AMT	3G 2100	244	14	8935807	"2014-08-15				"
FIN	Ålands Telekommunikation Ab	Alands Telekommunikation Ab	FI AMT	FI AMT	GSM 900	244	14	8935807	"2014-08-15				"
FJI	Digicel (Fiji) Ltd	Digicel (Fiji) Limited	DIGICEL	DIGICEL	GSM 900	542	02	8967902	"2012-07-05				"
FJI	Digicel (Fiji) Ltd	Digicel (Fiji) Limited	DIGICEL	DIGICEL	3G 900	542	02	8967902	"2012-07-05				"
FJI	Vodafone Fiji Limited	VODAFONE	FJ VODAFONE	VODAFONE	LTE 1800	542	01	8967901	"2015-01-27				"
FJI	Vodafone Fiji Limited	VODAFONE	FJ VODAFONE	VODAFONE	GSM 900	542	01	8967901	"2015-01-27				"
FJI	Vodafone Fiji Limited	VODAFONE	FJ VODAFONE	VODAFONE	3G 2100	542	01	8967901	"2015-01-27				"
FLK	Sure South Atlantic Limited	Sure South Atlantic Limited	Sure FLK	Sure	GSM 900	750	001	8950001	"2015-05-19				"
FLK	Sure South Atlantic Limited	Sure South Atlantic Limited	Sure FLK	Sure	GSM 1800	750	001	8950001	"2015-05-19				"
FRA	Bouygues Télécom 	Bouygues Telecom	F-Bouygues Telecom	BYTEL	GSM 1800	208	20	893320	"2012-09-19				"
FRA	Bouygues Télécom 	Bouygues Telecom	F-Bouygues Telecom	BYTEL	3G 2100	208	20	893320	"2012-09-19				"
FRA	Bouygues Télécom 	Bouygues Telecom	F-Bouygues Telecom	BYTEL	GSM 900	208	20	893320	"2012-09-19				"
FRA	Bouygues Télécom 	Bouygues Telecom (Contact)	F - Contact	Contact	GSM 1800	208	88	893320	"2012-09-19				"
FRA	Bouygues Télécom 	Bouygues Telecom (Contact)	F - Contact	Contact	GSM 900	208	88	893320	"2012-09-19				"
FRA	Free Mobile	Free Mobile	Free	Free	3G 2100	208	15	893315	"2011-03-03				"
FRA	Free Mobile	Free Mobile	Free	Free	3G 900	208	15	893315	"2011-03-03				"
FRA	Orange	Orange France	Orange F	Orange	3G 2100	208	01	893301	"2012-03-09				"
FRA	Orange	Orange France	Orange F	Orange	3G 900	208	01	893301	"2012-03-09				"
FRA	Orange	Orange France	F-Contact	Contact	GSM 900	208	02	893301	"2013-02-11				"
FRA	Orange	Orange France	F-Contact	Contact	GSM 1800	208	02	893301	"2013-02-11				"
FRA	Société Française du Radiotéléphone S.A.	SFR	F SFR	SFR	GSM 1800	208	09	893310	"2014-12-03				"
FRA	Société Française du Radiotéléphone S.A.	SFR	F SFR	SFR	3G  2100	208	09	893310	"2014-12-03				"
FRA	Société Française du Radiotéléphone S.A.	SFR	F SFR	SFR	3G  2100	208	10	893310	"2014-12-03				"
FRA	Société Française du Radiotéléphone S.A.	SFR	F SFR	SFR	3G  900	208	09	893310	"2014-12-03				"
FRA	Société Française du Radiotéléphone S.A.	SFR	F SFR	SFR	GSM 900	208	09	893310	"2014-12-03				"
FRA	Société Française du Radiotéléphone S.A.	SFR	F SFR	SFR	3G  900	208	10	893310	"2014-12-03				"
FRA	Société Française du Radiotéléphone S.A.	SFR	F SFR	SFR	GSM 1800	208	10	893310	"2014-12-03				"
FRA	Société Française du Radiotéléphone S.A.	SFR	F SFR	SFR	LTE 800	208	10	893310	"2014-12-03				"
FRA	Société Française du Radiotéléphone S.A.	SFR	F SFR	SFR	LTE 2600	208	10	893310	"2014-12-03				"
FRA	Société Française du Radiotéléphone S.A.	SFR	F SFR	SFR	GSM 900	208	10	893310	"2014-12-03				"
FRA	Société Française du Radiotéléphone S.A.	SFR (Contact)	F - Contact	Contact	GSM 1800	208	13	893310	"2014-12-03				"
FRA	Société Française du Radiotéléphone S.A.	SFR (Contact)	F - Contact	Contact	GSM 900	208	13	893310	"2014-12-03				"
FRA	Société Française du Radiotéléphone S.A.	SFR (FEMTO)	SFR FEMTO	SFRFEMTO	3G 2100	208	11	893310	"2014-12-03				"
FRO	Føroya Tele (Faroese Telecom)	Faroese Telecom	Foroya Tele	FT-GSM	3G 2100	288	01	8929801	"2012-09-13				"
FRO	Føroya Tele (Faroese Telecom)	Faroese Telecom	Foroya Tele	FT-GSM	3G 900	288	01	8929801	"2012-09-13				"
FRO	Føroya Tele (Faroese Telecom)	Faroese Telecom	Foroya Tele	FT-GSM	GSM 900	288	01	8929801	"2012-09-13				"
FRO	P/F Kall	VODAFONE FO	VODAFONE FO	VODAFONE	GSM 900	288	02	8929829	"2014-12-03				"
FRO	P/F Kall	VODAFONE FO	VODAFONE FO	VODAFONE	3G 2100	288	02	8929829	"2014-12-03				"
FRO	P/F Kall	VODAFONE FO	VODAFONE FO	VODAFONE	GSM 900	288	02	8929802	"2014-12-03				"
FRO	P/F Kall	VODAFONE FO	VODAFONE FO	VODAFONE	3G 2100	288	02	8929802	"2014-12-03				"
FSM	Federated States of Micronesia Telecommunications Corporation	FSM Telecommunications Corporation	FSM Telecom	FSMTC	GSM 900	550	01	8969101	"2012-07-05				"
GAB	Atlantique Telecom Gabon S.A.	ETISALAT GABON	ETISALAT GAB	ETISALAT	GSM 900	628	02	8924101	"2012-01-16				"
GAB	Celtel Gabon S.A.	Airtel	Airtel	Airtel	GSM 900	628	03	8924103	"2015-02-04				"
GAB	Libertis S.A.	LIBERTIS	LIBERTIS	LIBERTIS	GSM 900	628	01	8924101	"2012-08-09				"
GBR	Everything Everywhere Limited	Orange	EE	EE	3G 2100	234	33	894412	"2012-12-17				"
GBR	Everything Everywhere Limited	Orange	EE	EE	GSM 1800	234	33	894412	"2012-11-21				"
GBR	Everything Everywhere Limited	T-Mobile	EE	EE	3G 2100	234	31	894430	"2012-12-17				"
GBR	Everything Everywhere Limited	T-Mobile	EE	EE	GSM 1800	234	30	894430	"2012-11-21				"
GBR	Everything Everywhere Limited	T-Mobile	EE	EE	3G 2100	234	30	894430	"2012-12-17				"
GBR	Everything Everywhere Limited	T-Mobile	EE	EE	GSM 1800	234	31	894430	"2012-11-21				"
GBR	Everything Everywhere Limited	T-Mobile	EE	EE	3G 2100	234	32	894430	"2012-12-17				"
GBR	Everything Everywhere Limited	T-Mobile	EE	EE	GSM 1800	234	32	894430	"2012-11-21				"
GBR	Hutchison 3G UK Limited	3	3 UK	3 UK	3G 2100	234	20	894420	"2004-04-16				"
GBR	JT (Guernsey) Limited	JT	JT	JT	LTE 800	234	50	894450	"2015-04-07				"
GBR	JT (Guernsey) Limited	JT	JT	JT	LTE 2600	234	50	894450	"2015-04-07				"
GBR	JT (Guernsey) Limited	JT	JT	JT	3G 2100	234	50	894450	"2015-04-07				"
GBR	JT (Guernsey) Limited	JT	JT	JT	GSM 1800	234	50	894450	"2015-04-07				"
GBR	JT (Jersey) Limited	JT	JT	JT	LTE 800	234	50	894450	"2015-04-07				"
GBR	JT (Jersey) Limited	JT	JT	JT	3G 2100	234	50	894450	"2015-04-07				"
GBR	JT (Jersey) Limited	JT	JT	JT	GSM 900	234	50	894450	"2015-04-07				"
GBR	JT (Jersey) Limited	JT	JT	JT	GSM 1800	234	50	894450	"2015-04-07				"
GBR	JT (Jersey) Limited	JT	JT	JT	LTE 2600	234	50	894450	"2015-04-07				"
GBR	Jersey Airtel Limited	Airtel-Vodafone	Airtel-Vodafone	ATL-VOD	GSM 1800	234	03	894476	"2015-04-28				"
GBR	Jersey Airtel Limited	Airtel-Vodafone	Airtel-Vodafone	ATL-VOD	GSM 900	234	03	894476	"2015-04-28				"
GBR	Jersey Airtel Limited	Airtel-Vodafone	Airtel-Vodafone	ATL-VOD	LTE 800	234	03	894476	"2015-04-28				"
GBR	Jersey Airtel Limited	Airtel-Vodafone	Airtel-Vodafone	ATL-VOD	LTE 1800	234	03	894476	"2015-04-28				"
GBR	Jersey Airtel Limited	Airtel-Vodafone	Airtel-Vodafone	ATL-VOD	LTE 2600	234	03	894476	"2015-04-28				"
GBR	Jersey Airtel Limited	Airtel-Vodafone	Airtel-Vodafone	ATL-VOD	3G 900	234	03	894476	"2015-04-28				"
GBR	Jersey Airtel Limited	Airtel-Vodafone	Airtel-Vodafone	ATL-VOD	3G 2100	234	03	894476	"2015-04-28				"
GBR	Manx Telecom	Manx Telecom	Manx Telecom	MANX	3G 2100	234	58	894453	"2014-05-08				"
GBR	Manx Telecom	Manx Telecom	Manx Telecom	MANX	GSM 900	234	58	894453	"2014-05-08				"
GBR	Marathon Telecom Limited	Marathon Telecom Limited	Marathon	Marathon	3G 2100	234	28	894403	"2010-12-09				"
GBR	Marathon Telecom Limited	Marathon Telecom Limited	Marathon	Marathon	3G 1900	234	28	894403	"2010-12-09				"
GBR	Sure (Guernsey) Limited 	Sure (Guernsey) Limited	Sure	Sure	3G 2100	234	55	894455	"2013-07-31				"
GBR	Sure (Guernsey) Limited 	Sure (Guernsey) Limited	Sure	Sure	GSM 900	234	55	894455	"2013-07-31				"
GBR	Sure (Isle of Man) Limited	Sure (Isle of Man) Limited	Sure	Sure	3G 2100	234	55	894455	"2013-07-31				"
GBR	Sure (Isle of Man) Limited	Sure (Isle of Man) Limited	Sure	Sure	GSM 900	234	55	894455	"2013-07-31				"
GBR	Sure (Isle of Man) Limited	Sure (Isle of Man) Limited	Sure	Sure	GSM 1800	234	55	894455	"2013-07-31				"
GBR	Sure (Jersey) Limited	Sure (Jersey) Limited	Sure	Sure	GSM 900	234	55	894455	"2013-07-31				"
GBR	Sure (Jersey) Limited	Sure (Jersey) Limited	Sure	Sure	GSM 1800	234	55	894455	"2013-07-31				"
GBR	Sure (Jersey) Limited	Sure (Jersey) Limited	Sure	Sure	3G 2100	234	55	894455	"2013-07-31				"
GBR	TeleWare PLC	PMN	PMN UK	PMN	GSM 1800	234	19	89	"2011-11-16				"
GBR	Telefónica UK Limited	O2 (UK)	O2 - UK	O2 - UK	GSM 900	234	10	894411	"2013-05-01				"
GBR	Telefónica UK Limited	O2 (UK)	O2 - UK	O2 - UK	3G 2100	234	10	894411	"2013-05-01				"
GBR	Telefónica UK Limited	O2 (UK)	O2 - UK	O2 - UK	GSM 1800	234	10	894411	"2013-05-01				"
GBR	Vodafone Ltd	vodafone	vodafone UK	voda UK	LTE 800	234	15	894410	"2015-02-25				"
GBR	Vodafone Ltd	vodafone	vodafone UK	voda UK	3G 900	234	15	894410	"2015-02-25				"
GBR	Vodafone Ltd	vodafone	vodafone UK	voda UK	GSM 1800	234	15	894410	"2015-02-25				"
GBR	Vodafone Ltd	vodafone	vodafone UK	voda UK	LTE 2600	234	15	894410	"2015-02-25				"
GBR	Vodafone Ltd	vodafone	vodafone UK	voda UK	3G 2100	234	15	894410	"2015-02-25				"
GBR	Vodafone Ltd	vodafone	vodafone UK	voda UK	GSM 900	234	15	894410	"2015-02-25				"
GEO	Geocell Ltd	GEOCELL	GEO-GEOCELL	GCELL	GSM 900	282	01	8999501	"2015-02-09				"
GEO	Geocell Ltd	GEOCELL	GEO-GEOCELL	GCELL	GSM 1800	282	01	8999501	"2015-02-09				"
GEO	Geocell Ltd	GEOCELL	GEO-GEOCELL	GCELL	3G 2100	282	01	8999501	"2015-02-09				"
GEO	Magticom Ltd	Magticom LTD	MAGTI-GSM-GEO	MAGTI	GSM 900	282	02	8999597	"2012-07-05				"
GEO	Magticom Ltd	Magticom LTD	MAGTI-GSM-GEO	MAGTI	GSM 1800	282	02	8999597	"2012-07-05				"
GEO	Mobitel LLC	Mobitel	BEELINE GE	BEELINE	GSM 1800	282	04	8999504	"2006-11-22				"
GHA	Airtel Ghana Limited	Airtel	Airtel	Airtel	GSM 900	620	06	8923306	"2014-08-13				"
GHA	Airtel Ghana Limited	Airtel	Airtel	Airtel	GSM 1800	620	06	8923306	"2014-08-13				"
GHA	Scancom Limited	MTN	GH MTN	MTN	GSM 900	620	01	8923301	"2007-05-10				"
GHA	Vodafone Ghana	Vodafone Ghana	GH Vodafone	Vodafone	GSM 900	620	02	8923302	"2012-07-05				"
GIB	Gibtelecom Limited	GIBTEL	GIBTEL	GIBTEL	3G 2100	266	01	8935001	"2015-06-03				"
GIB	Gibtelecom Limited	GIBTEL	GIBTEL	GIBTEL	GSM 900	266	01	8935001	"2015-06-03				"
GIB	Gibtelecom Limited	GIBTEL	GIBTEL	GIBTEL	GSM 1800	266	01	8935001	"2015-06-03				"
GIN	Areeba Guinée S.A.	MTN	GNMTN	GNAreeba	GSM 900	611	04	8922404	"2012-08-01				"
GIN	Areeba Guinée S.A.	MTN	GNMTN	GNAreeba	GSM 1800	611	04	8922404	"2012-08-01				"
GIN	Orange Guinée S.A.	Orange Guinee	Orange GN	ORANGEGN	GSM 1800	611	01	8922401	"2007-06-26				"
GIN	Orange Guinée S.A.	Orange Guinee	Orange GN	ORANGEGN	GSM 900	611	01	8922401	"2007-06-26				"
GIN	Sotelgui sa	LAGUI	GN LAGUI	LAGUI	GSM 900	611	02	8922402	"2012-07-05				"
GLP	Digicel Antilles Française Guyane	Digicel	Digicel	DigicelF	3G 2100	340	20	8959620	"2014-12-03				"
GLP	Digicel Antilles Française Guyane	Digicel	Digicel	DigicelF	GSM 900	340	20	8959620	"2014-12-03				"
GLP	Orange Caraïbe	Orange	F-Orange	Orange	GSM 900	340	01	8959001	"2004-04-14				"
GLP	Outremer Télécom	Outremer	ONLY	ONLY	GSM 900	340	02	"8959402	8959602	 8959002"	"2012-07-05		"
GLP	Outremer Télécom	Outremer	ONLY	ONLY	GSM 1800	340	02	"8959402	8959602	 8959002"	"2012-07-05		"
GMB	Africell (Gambia) Limited	AFRICELL	AFRICELL	AFRICELL	GSM 900	607	02		"2012-08-09				"
GMB	Africell (Gambia) Limited	AFRICELL	AFRICELL	AFRICELL	GSM 1800	607	02		"2012-08-09				"
GMB	Comium Gambia Ltd.	Comium Gambia	GM COMIUM	GMCOMIUM	GSM 1800	607	03	8922003	"2006-11-22				"
GMB	Comium Gambia Ltd.	Comium Gambia	GM COMIUM	GMCOMIUM	GSM 900	607	03	8922003	"2006-11-22				"
GMB	Gambia Telecommunications Cellular Company Ltd (Gamcell)	GAMCELL	GAMCEL	GAMCEL	GSM 900	607	01	8922001	"2001-09-18				"
GMB	QCell	Qcell	Qcell	QC	3G 2100	607	04	8922004	"2012-10-19				"
GMB	QCell	Qcell	Qcell	QC	GSM 900	607	04	8922004	"2012-10-19				"
GNB	Spacetel Guinée-Bissau SA	MTN	MTN	MTN	GSM 900	632	02	8924502	"2012-07-05				"
GNB	Spacetel Guinée-Bissau SA	MTN	MTN	MTN	GSM 1800	632	02	8924502	"2012-07-05				"
GNQ	Green Com S.A.	Green Com	GNQ-Muni	Muni-GQ	GSM 900	627	03	8924003	"2014-03-20				"
GNQ	Green Com S.A.	Green Com	GNQ-Muni	Muni-GQ	GSM 1800	627	03	8924003	"2014-03-20				"
GNQ	Guinea Ecuatorial de Telecomunicaciones Sociedad Anonima	Orange GQ	GNQ01	GETESA	GSM 900	627	01		"2015-02-04				"
GRC	Cosmote Mobile Telecommunications S.A.	COSMOTE	GR COSMOTE	C-OTE	GSM 900	202	01	893001	"2012-07-05				"
GRC	Cosmote Mobile Telecommunications S.A.	COSMOTE	GR COSMOTE	C-OTE	GSM 1800	202	01	893001	"2012-07-05				"
GRC	Vodafone-Panafon Hellenic Telecommunications Company S.A.	vodafone	vodafone GR	voda GR	GSM 900	202	05	8930050	"2013-04-09				"
GRC	Wind Hellas Telecommunications S.A.	WIND	WIND GR	WIND	GSM 1800	202	10	"893010	 893009"	"2012-12-17			"
GRC	Wind Hellas Telecommunications S.A.	WIND	WIND GR	WIND	3G 2100	202	10	"893010	 893009"	"2012-12-17			"
GRC	Wind Hellas Telecommunications S.A.	WIND	WIND GR	WIND	GSM 1800	202	09	"893010	 893009"	"2012-12-17			"
GRC	Wind Hellas Telecommunications S.A.	WIND	WIND GR	WIND	3G 2100	202	09	"893010	 893009"	"2012-12-17			"
GRC	Wind Hellas Telecommunications S.A.	WIND	WIND GR	WIND	GSM 900	202	09	"893010	 893009"	"2012-12-17			"
GRC	Wind Hellas Telecommunications S.A.	WIND	WIND GR	WIND	GSM 900	202	10	"893010	 893009"	"2012-12-17			"
GRD	Cable & Wireless Grenada Limited	LIME	LIME	LIME	GSM 850	352	110	8901017	"2012-05-18				"
GRD	Digicel Grenada Limited	Digicel	DIGICEL	DIGICEL	GSM 900	352	030	8901050	"2004-11-05				"
GRD	Digicel Grenada Limited	Digicel	DIGICEL	DIGICEL	GSM 1800	352	030	8901050	"2004-11-05				"
GRL	Tele Greenland  A/S	TELE Greenland	TELE Greenland	TELE GRL	GSM 900	290	01	8929901	"2012-07-05				"
GTM	Comunicaciones Celulares S.A.	TIGO GUATEMALA	TIGO	TIGO	GSM 850	704	02	8950202	"2015-06-16				"
GTM	"Telecomunicaciones de Guatemala	 S.A. (TELGUA)"	CLARO	CLARO GTM	CLAROGTM	GSM 900	704	01	8950201	"2014-04-17			"
GTM	"Telecomunicaciones de Guatemala	 S.A. (TELGUA)"	CLARO	CLARO GTM	CLAROGTM	GSM 1900	704	01	8950201	"2014-04-17			"
GTM	"Telecomunicaciones de Guatemala	 S.A. (TELGUA)"	CLARO	CLARO GTM	CLAROGTM	3G 1900	704	01	8950201	"2014-04-17			"
GTM	"Telefónica Móviles Guatemala	 S.A."	Telefonica	Movistar	Movistar	GSM 1900	704	03	8950203	"2013-02-20			"
GUM	"DOCOMO PACIFIC	 INC. (Guam)"	DOCOMO PACIFIC INC	USA DOCOMO PACIFIC	DOCOMOPA	3G 1900	310	370	 891377	"2014-10-07			"
GUM	"DOCOMO PACIFIC	 INC. (Guam)"	DOCOMO PACIFIC INC	USA DOCOMO PACIFIC	DOCOMOPA	GSM 1900	310	370	 891377	"2014-10-07			"
GUM	"DOCOMO PACIFIC	 INC. (Guam)"	DOCOMO PACIFIC INC	USA DOCOMO PACIFIC	DOCOMOPA	3G 850	310	370	 891377	"2014-10-07			"
GUM	"DOCOMO PACIFIC	 INC. (Guam)"	DOCOMO PACIFIC INC	USA DOCOMO PACIFIC	DOCOMOPA	LTE 700	310	370	 891377	"2014-10-07			"
