AAA	OnAir Switzerland Sarl	ONAIR	OnAir1	OnAir	1800 (GSM)	901	15		8988298	2014-12-02
BRA	Vivo S.A.	Vivo	VIVO	VIVO	850 (GSM)	724	23		895523	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	2100 (3G)	724	11		895511	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	1800 (GSM)	724	11		895511	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	2600 (LTE)	724	10		895510	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	850 (3G)	724	10		895510	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	900 (GSM)	724	11		895511	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	850 (GSM)	724	06		895506	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	1800 (GSM)	724	10		895510	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	850 (3G)	724	23		895523	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	850 (GSM)	724	10		895510	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	1900 (GSM)	724	11		895511	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	1900 (GSM)	724	10		895510	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	850 (GSM)	724	11		895511	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	700 (LTE)	724	23		895523	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	900 (GSM)	724	23		895523	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	2100 (3G)	724	23		895523	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	1800 (GSM)	724	23		895523	2014-11-18
BRA	Vivo S.A.	Vivo	VIVO	VIVO	2600 (LTE)	724	11		895511	2014-11-18
BRB	Cable & Wireless (Barbados) Ltd	LIME	LIME	LIME	1900 (GSM)	342	600	1	8901012	2012-05-18
BRB	Digicel (Barbados) Limited	Digicel	DIGICEL	DIGICEL	900 (GSM)	342	750	2	890105	2004-11-05
BRB	Digicel (Barbados) Limited	Digicel	DIGICEL	DIGICEL	1800 (GSM)	342	750	2	890105	2004-11-05
BRB	Digicel (Barbados) Limited	Digicel (Barbados) Limited	DIGICEL	DIGICEL	2100 (3G)	342	750		890105	2012-07-02
BRN	DataStream Technology	DTSCom	BRU-DSTCom	DSTCom	900 (GSM)	528	11	4	8967311	2004-05-11
BRN	Progresif Cellular Sdn Bhd	PCSB	PCSB	PCSB	2100 (3G)	528	02		8967381	2014-07-18
BTN	B-Mobile	B-Mobile	BT B-Mobile	B-Mobile	900 (GSM)	402	11	1	8997511	2012-03-13
BTN	"Tashi InfoComm Ltd, Thimphu"	TASHICELL	TASHICELL	TASHICEL	1800 (GSM)	402	77		8997577	2014-06-13
BTN	"Tashi InfoComm Ltd, Thimphu"	TASHICELL	TASHICELL	TASHICEL	900 (GSM)	402	77		8997577	2014-06-13
BWA	Botswana Telecommunications Corporation	beMOBILE	beMOBILE	beMOBILE	900 (GSM)	652	04	0	8926704	2013-02-26
BWA	Botswana Telecommunications Corporation	beMOBILE	beMOBILE	beMOBILE	1800 (GSM)	652	04	0	8926704	2013-02-26
BWA	Mascom Wireless (Pty) Limited	MASCOM	BW MASCOM	MASCOM	900 (GSM)	652	01	3	8926701	2004-04-13
BWA	Orange (Botswana) Pty Limited	ORANGE	Orange	Orange	900 (GSM)	652	02	7	8926702	2004-04-13
CAF	Atlantique Telecom Centrafrique SA	ETISALAT	ETISALAT RCA	ETISALAT	900 (GSM)	623	01	"0,7"	8923601	2012-01-16
CAF	Nationlink Telecom	Azur-RCA	NationLink	NL-RCA	900 (GSM)	623	04	"0,1"	8923604	2012-05-10
CAF	Telecel Centrafrique SA	Telecel Centrafrique SA	Telecel	Telecel	900 (GSM)	623	02	5	8962302	2014-12-03
CAN	Bell Mobility Inc.	Bell Mobility	Bell	Bell	850 (3G)	302	610		89302610	2014-03-20
CAN	Bell Mobility Inc.	Bell Mobility	Bell	Bell	2600 (LTE)	302	610		89302610	2014-03-20
CAN	Bell Mobility Inc.	Bell Mobility	Bell	Bell	1700 (LTE)	302	610		89302610	2014-03-20
CAN	Bell Mobility Inc.	Bell Mobility	Bell	Bell	1900 (3G)	302	610		89302610	2014-03-20
CAN	Bell Mobility Inc.	Bell Mobility	Bell	Bell	2500 (LTE)	302	610		89302610	2014-03-20
CAN	Bell Mobility Inc.	Bell Mobility	Bell	Bell	2100 (LTE)	302	610		89302610	2014-03-20
CAN	Bell Mobility Inc.	Bell shared with TELUS & SaskTel	FastRoam	FastRoam	1900 (3G)	302	880			2014-03-20
CAN	Bell Mobility Inc.	Bell shared with TELUS & SaskTel	FastRoam	FastRoam	850 (3G)	302	880			2014-03-20
CAN	Bragg Communications Inc	Bragg Communications Inc	Eastlink	Eastlink	1700 (3G)	302	270		891035	2012-01-15
CAN	Bragg Communications Inc	Bragg Communications Inc	Eastlink	Eastlink	2100 (3G)	302	270		891035	2012-01-15
CAN	Data & Audio-Visual Enterprises Wireless Inc. (DAVE)	Data & Audio-Visual Enterprises Wireless Inc. (DAVE)	Mobilicity	Mobilici	2100 (3G)	302	320		891320	2014-06-13
CAN	Data & Audio-Visual Enterprises Wireless Inc. (DAVE)	Data & Audio-Visual Enterprises Wireless Inc. (DAVE)	Mobilicity	Mobilici	1700 (3G)	302	320		891320	2014-06-13
CAN	Execulink Telecom Inc	Execulink Telecom	Execulink Telecom	ETI	850 (GSM)	302	340		8901302	2014-04-22
CAN	MTS Inc.	MTS	MTS	MTS	850 (GSM)	302	660		891660	2014-10-17
CAN	Rogers Wireless Inc	FIDO	Fido	Fido	1900 (GSM)	302	370	"0,4"	8930237	2014-12-03
CAN	Rogers Wireless Inc	Rogers Wireless	Rogers Wireless	ROGERS	1900 (3G)	302	720		8930272	2014-12-03
CAN	Rogers Wireless Inc	Rogers Wireless	Rogers Wireless	ROGERS	850 (3G)	302	720		8930272	2014-12-03
CAN	Rogers Wireless Inc	Rogers Wireless	Rogers Wireless	ROGERS	1900 (GSM)	302	720	"0,5"	8930272	2014-12-03
CAN	Rogers Wireless Inc	Rogers Wireless	Rogers Wireless	ROGERS	850 (GSM)	302	720	"0,5"	8930272	2014-12-03
CAN	Rogers Wireless Inc	Rogers Wireless	Rogers Wireless	ROGERS	1700 (LTE)	302	720		8930272	2014-12-03
CAN	Rogers Wireless Inc	Rogers Wireless	Rogers Wireless	ROGERS	2100 (3G)	302	720		8930272	2014-12-03
CAN	Rogers Wireless Inc	Rogers Wireless	Rogers Wireless	ROGERS	2100 (LTE)	302	720		8930272	2014-12-03
CAN	SaskTel	SaskTel	SaskTel	SaskTel	1900 (3G)	302	780		89302780	2012-11-07
CAN	SaskTel	SaskTel	SaskTel	SaskTel	850 (3G)	302	780		89302780	2012-11-07
CAN	SaskTel	SaskTel shared with Bell & TELUS	FastRoam	FastRoam	850 (3G)	302	880			2012-11-07
CAN	SaskTel	SaskTel shared with Bell & TELUS	FastRoam	FastRoam	1900 (3G)	302	880			2012-11-07
CAN	TELUS Communications Company	TELUS	TELUS	TELUS	850 (3G)	302	220		891223	2012-11-07
CAN	TELUS Communications Company	TELUS	TELUS	TELUS	1900 (3G)	302	220		891223	2012-11-07
CAN	TELUS Communications Company	TELUS shared with Bell & SaskTel	FastRoam	FastRoam	1900 (3G)	302	880			2012-11-07
CAN	TELUS Communications Company	TELUS shared with Bell & SaskTel	FastRoam	FastRoam	850 (3G)	302	880			2012-11-07
CAN	TerreStar Solutions Inc	TerreStar Solutions	CAN TerreStar Solutions	TStarSol	2100 (3G)	302	730		8930273	2010-04-01
CAN	WIND Mobile Corp.	WIND Mobile Corp	WIND	WIND	1700 (3G)	302	490		8930249	2014-12-02
CAN	Wightman Telecom Ltd	Wightman Telecom	Wightman	Wightman	850 (GSM)	302	940		8930294	2010-12-02
CHE	Orange Communications SA	Orange	Orange CH	Orange	1800 (GSM)	228	03	"1,5"	894103	2013-02-20
CHE	Sunrise Communications AG	Sunrise	Sunrise	Sunrise	1800 (GSM)	228	02	"1,5,6"	894102	2012-05-22
CHE	Sunrise Communications AG	Sunrise	Sunrise	Sunrise	2100 (3G)	228	02		894102	2012-05-22
CHE	Sunrise Communications AG	Sunrise	Sunrise	Sunrise	900 (GSM)	228	02	"1,5,6"	894102	2012-05-22
CHE	Swisscom (Switzerland) Ltd	Swisscom	Swisscom	Swisscom	2100 (3G)	228	01		894101	2012-09-12
CHE	Swisscom (Switzerland) Ltd	Swisscom	Swisscom	Swisscom	900 (GSM)	228	01	"1,5"	894101	2012-09-12
CHE	Swisscom (Switzerland) Ltd	Swisscom	Swisscom	Swisscom	1800 (GSM)	228	01	"1,5"	894101	2012-09-12
CHL	CLARO CHILE SA	CLARO CHILE	CLARO CHL	ClaroCHL	1900 (GSM)	730	03		8956030	2006-11-09
CHL	Entel PCS Telecomunicaciones S.A.	ENTEL PCS	ENTEL PCS	ENTEL	1900 (GSM)	730	10	1	895610	2014-12-03
CHL	Entel PCS Telecomunicaciones S.A.	ENTEL PCS	ENTEL PCS	ENTEL	1900 (3G)	730	10	0	895610	2014-12-03
CHL	Nextel S.A.	Nextel Chile	Nextel 3G	Nextel3G	2100 (3G)	730	09			2011-01-26
CHL	Nextel S.A.	Nextel Chile	Nextel 3G	Nextel3G	1700 (3G)	730	09			2011-01-26
CHL	Telef?nica M?vil de Chile S.A.	Telefonica Movil de Chile	Movistar	Movistar	850 (3G)	730	02		895602	2014-04-11
CHL	Telef?nica M?vil de Chile S.A.	Telefonica Movil de Chile	Movistar	Movistar	1900 (GSM)	730	02	5	895602	2014-04-11
CHL	Telef?nica M?vil de Chile S.A.	Telefonica Movil de Chile	Movistar	Movistar	850 (GSM)	730	02	5	895602	2014-04-11
CHL	Telef?nica M?vil de Chile S.A.	Telefonica Movil de Chile	Movistar	Movistar	850 (3G)	730	07		895602	2014-04-11
CHL	Telef?nica M?vil de Chile S.A.	Telefonica Movil de Chile	Movistar	Movistar	850 (GSM)	730	07	5	895602	2014-04-11
CHL	Telef?nica M?vil de Chile S.A.	Telefonica Movil de Chile	Movistar	Movistar	1900 (GSM)	730	07	5	895602	2014-04-11
CHL	"VTR MOVIL, S.A."	VTR MOVIL  S.A	CHL VTR	VTR	2100 (3G)	730	08		895608	2012-07-04
CHL	"VTR MOVIL, S.A."	VTR MOVIL  S.A	CHL VTR	VTR	1700 (3G)	730	08		895608	2012-07-04
CHN	China Mobile Limited	CHINA MOBILE	CHINA MOBILE	CMCC	900 (GSM)	460	00	"4,6,7"	898600	2014-09-16
CHN	China Telecommunications Corporation	China Telecom	CHN-CT	CT	800 (CDMA)	460	11		898611	2014-10-31
CHN	China Telecommunications Corporation	China Telecom	CHN-CT	CT	2000 (CDMA)	460	11		898611	2014-10-31
CHN	China Unicom	CHINA UNICOM GSM	CHN-UNICOM	UNICOM	900 (GSM)	460	01	5	898601	2014-10-31
CHN	China Unicom	CHINA UNICOM GSM	CHN-UNICOM	UNICOM	2100 (3G)	460	01		898601	2014-10-31
CIV	Atlantique Telecom Cote d'Ivoire	ETISALAT	ETISALAT CI	ETISALAT	900 (GSM)	612	02	"0,7"	8922502	2012-03-05
CIV	Atlantique Telecom Cote d'Ivoire	ETISALAT	ETISALAT CI	ETISALAT	1800 (GSM)	612	02	"0,7"	8922502	2012-03-05
CIV	Comium Ivory Coast Inc	Comium Ivory Coast INC.	KoZ	KoZ	900 (GSM)	612	04		8922504	2012-04-24
CIV	Comium Ivory Coast Inc	Comium Ivory Coast INC.	KoZ	KoZ	1800 (GSM)	612	04		8922504	2012-04-24
CIV	MTN C?TE D'IVOIRE S.A.	MTN	MTN CI	MTN CI	900 (GSM)	612	05	"4,5,6"	8922505	2012-07-05
CIV	Orange CI	Orange CI	Orange CI	Orange	900 (GSM)	612	03		8922503	2004-04-13
CMR	MTN Cameroon Ltd	MTN Cameroon	MTN CAM	MTN CAM	900 (GSM)	624	01	"0,7"	8923701	2012-07-05
CMR	Orange Cameroun SA	Orange	Orange CAM	Orange	900 (GSM)	624	02		8923702	2014-12-03
CMR	VIETTEL CAMEROUN S.A.R.L 	Nexttel	Nexttel	Nexttel	1800 (GSM)	624	04		8923704	2014-09-30
CMR	VIETTEL CAMEROUN S.A.R.L 	Nexttel	Nexttel	Nexttel	900 (GSM)	624	04		8923704	2014-09-30
COD	AIRTEL CONGO RDC SA	Airtel	Airtel	Airtel	900 (GSM)	630	02	"0,1"	8924302	2014-09-10
COD	Africell RDC sprl	Africell RDC	Africell RDC	AFRICELL	1800 (GSM)	630	90	"4,6"	8924390	2013-01-25
COD	Africell RDC sprl	Africell RDC	Africell RDC	AFRICELL	900 (GSM)	630	90	"4,6"	8924390	2013-01-25
COD	Congo Chine Telecom Sarl	Orange RDC	Orange RDC	Orange	1800 (GSM)	630	86	"4,5,6"	8924384	2012-12-19
COD	Congo Chine Telecom Sarl	Orange RDC	Orange RDC	Orange	900 (GSM)	630	86	"4,5,6"	8924384	2012-12-19
COD	Congo Chine Telecom Sarl	Orange RDC	Orange RDC	Orange	2100 (3G)	630	86		8924384	2012-12-20
COD	TIGO	TIGO	TIGO DRC	TIGO	2100 (3G)	630	89		8924389	2013-04-11
COD	TIGO	TIGO	TIGO DRC	TIGO	1800 (GSM)	630	89	"2,3"	8924389	2013-02-11
COD	Vodacom Congo (RDC) sprl	Vodacom Congo	Vodacom Congo	VODACOM	900 (GSM)	630	01	1	8924301	2014-12-03
COD	Vodacom Congo (RDC) sprl	Vodacom Congo	Vodacom Congo	VODACOM	1800 (GSM)	630	01	1	8924301	2014-12-03
COD	Yozma Timeturns s.p.r.l.	YTT	CD Smart	Smart	1800 (GSM)	630	88	"0,6,7"	8924388	2012-03-13
COD	Yozma Timeturns s.p.r.l.	YTT	CD Smart	Smart	900 (GSM)	630	88	"0,6,7"	8924388	2012-03-13
COG	Airtel Congo SA	Airtel	Airtel	Airtel	900 (GSM)	629	01		8924201	2014-08-13
COG	EQUATEUR TELECOM CONGO S.A (ETC)	Azur Congo	AZUR COG	AZUR COG	1800 (GSM)	629	02		8924202	2012-07-05
COG	EQUATEUR TELECOM CONGO S.A (ETC)	Azur Congo	AZUR COG	AZUR COG	900 (GSM)	629	02		8924202	2012-07-05
COG	MTN CONGO S.A	Libertis Telecom	COG MTN	MTN-CG	900 (GSM)	629	10	5	8962910	2006-05-12
COG	Warid Congo JSC	Warid Congo	Airtel	Airtel	1800 (GSM)	629	07		8962907	2014-07-28
COG	Warid Congo JSC	Warid Congo	Airtel	Airtel	900 (GSM)	629	07		8962907	2014-07-28
COK	Telecom Cook Islands	Telecom Cook Islands	CK KOKANET	KOKANET	900 (GSM)	548	01	"0,1"	8954801	2012-07-05
COL	Colombia Movil S.A.	Tigo	COL MOV / TIGO	TIGO COL	1900 (GSM)	732	111		8957732	2014-10-31
COL	Colombia Movil S.A.	Tigo	COL MOV / TIGO	TIGO COL	1900 (GSM)	732	103		8957732	2014-10-31
COL	Comunicacion Celular SA Comcel SA	Claro	Claro	Claro	1900 (GSM)	732	101		8957101	2012-06-22
COL	Comunicacion Celular SA Comcel SA	Claro	Claro	Claro	850 (GSM)	732	101		8957101	2012-06-22
COL	Comunicacion Celular SA Comcel SA	Claro	Claro	Claro	1900 (3G)	732	101		8957101	2012-06-22
COL	Comunicacion Celular SA Comcel SA	Claro	Claro	Claro	850 (3G)	732	101		8957101	2012-06-22
COL	Telefonica Moviles Colombia S.A.	Movistar	Movistar	Movistar	850 (GSM)	732	123	"0,7"	8957123	2013-02-20
COL	Telefonica Moviles Colombia S.A.	Movistar	Movistar	Movistar	1900 (GSM)	732	123	"0,7"	8957123	2013-02-20
COM	Societe Nationale des Telecommunications (Comores Telecom)	HURI	HURI	HURI	900 (GSM)	654	01	"0,1"	8926901	2012-07-05
CPV	"UNITEL T+ TELECOMUNICAC?ES, Sociedade Unipessoal S.A."	UNITEL T+ TELECOMUNICAC?ES	UNITEL T+	UNITELT+	1800 (GSM)	625	02	"0,1"	8923802	2014-10-17
CPV	"UNITEL T+ TELECOMUNICAC?ES, Sociedade Unipessoal S.A."	UNITEL T+ TELECOMUNICAC?ES	UNITELT+	UNITELT+	2100 (3G)	625	02	"0,1"	8923802	2014-10-17
CPV	"UNITEL T+ TELECOMUNICAC?ES, Sociedade Unipessoal S.A."	UNITEL T+ TELECOMUNICAC?ES	UNITEL T+	UNITELT+	900 (GSM)	625	02	"0,1"	8923802	2014-10-17
CRI	"Claro CR Telecomunicaciones, S.A."	Claro CR	CLARO CR	CLARO CR	1800 (GSM)	712	03		8950603	2011-09-21
CRI	I.C.E. (Instituto Costarricense de Electricidad)	I.C.E.	I.C.E.	I.C.E.	1800 (GSM)	712	01	0	8950601	2011-05-26
CRI	I.C.E. (Instituto Costarricense de Electricidad)	I.C.E.	I.C.E.	I.C.E.	850 (3G)	712	02		8950601	2012-07-05
CRI	I.C.E. (Instituto Costarricense de Electricidad)	I.C.E.	I.C.E.	I.C.E.	1800 (GSM)	712	02	0	8950601	2011-05-26
CRI	I.C.E. (Instituto Costarricense de Electricidad)	I.C.E.	I.C.E.	I.C.E.	850 (3G)	712	01		8950601	2012-07-05
CRI	"Telef?nica de Costa Rica TC, S.A."	Movistar	Movistar	Movistar	2100 (3G)	712	04		8950604	2012-10-23
CRI	"Telef?nica de Costa Rica TC, S.A."	Movistar	Movistar	Movistar	850 (3G)	712	04		8950604	2012-10-23
CRI	"Telef?nica de Costa Rica TC, S.A."	Movistar	Movistar	Movistar	1800 (GSM)	712	04	"0,4"	8950604	2012-10-23
CUB	"Empresa de Telecommunicaciones de Cuba, SA (ETECSA)"	ETECSA	CUBACEL	CUBACEL	900 (GSM)	368	01		895301	2012-01-31
CYM	Cable & Wireless (Cayman Islands) Ltd	LIME	LIME	LIME	1900 (GSM)	346	140	1	8901015	2012-05-18
CYM	Cable & Wireless (Cayman Islands) Ltd	LIME	LIME	LIME	850 (GSM)	346	140	1	8901015	2012-05-18
CYP	Cyprus Telecommunications Authority	Cytamobile-Vodafone	Cyta-Voda	CytaVoda	900 (GSM)	280	01	3	8935701	2014-11-13
CYP	Cyprus Telecommunications Authority	Cytamobile-Vodafone	Cyta-Voda	CytaVoda	1800 (GSM)	280	01	3	8935701	2014-11-13
CYP	MTN Cyprus Limited	MTN	MTN	MTN	1800 (GSM)	280	10	7	8935710	2007-06-21
CYP	MTN Cyprus Limited	MTN	MTN	MTN	2100 (3G)	280	10		8935710	2012-07-05
CYP	MTN Cyprus Limited	MTN	MTN	MTN	900 (GSM)	280	10	7	8935710	2007-06-21
CZE	O2 Czech Republic a.s.	O2 CZ	O2 CZ	O2 CZ	1800 (GSM)	230	02	1	894202	2014-12-03
CZE	O2 Czech Republic a.s.	O2 CZ	O2 CZ	O2 CZ	900 (GSM)	230	02	1	894202	2014-12-03
CZE	T-Mobile Czech Republic a.s.	T-Mobile CZ	T-Mobile CZ	TMO CZ	1800 (GSM)	230	01	5	894201	2004-04-14
CZE	T-Mobile Czech Republic a.s.	T-Mobile CZ	T-Mobile CZ	TMO CZ	900 (GSM)	230	01	5	894201	2004-04-14
CZE	Vodafone Czech Republic a.s.	Vodafone	Vodafone CZ	Vodafone	900 (GSM)	230	03	1	894203	2006-02-10
CZE	Vodafone Czech Republic a.s.	Vodafone	Vodafone CZ	Vodafone	1800 (GSM)	230	03	1	894203	2006-02-10
DEU	E-Plus Mobilfunk GmbH & Co. KG	E-Plus	E-Plus	E-Plus	1800 (GSM)	262	03	3	894921	2014-12-03
DEU	E-Plus Mobilfunk GmbH & Co. KG	E-Plus	E-Plus	E-Plus	1800 (LTE)	262	03		894921	2014-12-03
DEU	E-Plus Mobilfunk GmbH & Co. KG	E-Plus	E-Plus	E-Plus	2100 (3G)	262	03		894921	2014-12-03
DEU	Telef?nica Germany GmbH & Co. OHG	O2 Germany	O2 de	O2 de	2100 (3G)	262	08		894922	2014-12-16
DEU	Telef?nica Germany GmbH & Co. OHG	O2 Germany	O2 de	O2 de	1800 (GSM)	262	08	7	894922	2014-12-16
DEU	Telef?nica Germany GmbH & Co. OHG	O2 Germany	O2 de	O2 de	2600 (LTE)	262	08		894922	2014-12-16
DEU	Telef?nica Germany GmbH & Co. OHG	O2 Germany	O2 de	O2 de	2600 (LTE)	262	07		894922	2014-12-16
DEU	Telef?nica Germany GmbH & Co. OHG	O2 Germany	O2 de	O2 de	2100 (3G)	262	07		894922	2014-12-16
DEU	Telef?nica Germany GmbH & Co. OHG	O2 Germany	O2 de	O2 de	1800 (GSM)	262	07	7	894922	2014-12-16
DEU	Telekom Deutschland GmbH	Telekom Deutschland GmbH	Telekom.de	TDG	1800 (GSM)	262	01	3	894902	2012-01-15
DEU	Telekom Deutschland GmbH	Telekom Deutschland GmbH	Telekom.de	TDG	900 (GSM)	262	01	3	894902	2012-01-15
DEU	Telekom Deutschland GmbH	Telekom Deutschland GmbH	Telekom.de	TDG	2100 (3G)	262	01		894902	2012-07-05
DEU	Vodafone D2 GmbH	Vodafone	Vodafone.de	Vodafone	900 (GSM)	262	02	7	894920	2012-09-17
DEU	Vodafone D2 GmbH	Vodafone	Vodafone.de	Vodafone	1800 (GSM)	262	02	7	894920	2012-09-17
DEU	Vodafone D2 GmbH	Vodafone	Vodafone.de	Vodafone	2100 (3G)	262	02		894920	2012-09-17
DJI	Djibouti Telecom SA	Evatis	DJ EVATIS	EVATIS	900 (GSM)	638	01		8925301	2004-04-14
DMA	Cable & Wireless Dominica Ltd	LIME	LIME	LIME	850 (GSM)	366	110	1	8901016	2012-05-18
DMA	Wireless Ventures (Dominica) Ltd.	Digicel Dominica	Cingular	Cingular	900 (GSM)	366	020		89310380	2004-12-21
DMA	Wireless Ventures (Dominica) Ltd.	Digicel Dominica	Cingular	Cingular	1900 (GSM)	366	020		89310380	2004-12-21
DNK	Hi3G Denmark ApS	3 DK	3 DK	3 DK	2100 (3G)	238	06		894506	2010-12-20
DNK	TDC A/S	TDC Mobil	DK TDC	TDC	2100 (3G)	238	01		894501	2014-10-02
DNK	TDC A/S	TDC Mobil	DK TDC	TDC	900 (GSM)	238	01	1	894501	2014-10-02
DNK	TDC A/S	TDC Mobil	DK TDC	TDC	1800 (GSM)	238	01	1	894501	2014-10-02
DNK	TDC A/S	TDC Mobil	DK TDC	TDC	900 (3G)	238	01		894501	2014-10-02
DNK	Telenor A/S	Telenor DK	Telenor DK	TelenoDK	2100 (3G)	238	02		894502	2014-12-03
DNK	Telenor A/S	Telenor DK	Telenor DK	TelenoDK	900 (GSM)	238	77	5	894502	2014-12-03
DNK	Telenor A/S	Telenor DK	Telenor DK	TelenoDK	1800 (GSM)	238	77	5	894502	2014-12-03
DNK	Telenor A/S	Telenor DK	Telenor DK	TelenoDK	900 (3G)	238	77		894502	2014-12-03
DNK	Telenor A/S	Telenor DK	Telenor DK	TelenoDK	1800 (GSM)	238	02	5	894502	2014-12-03
DNK	Telenor A/S	Telenor DK	Telenor DK	TelenoDK	900 (GSM)	238	02	5	894502	2014-12-03
DNK	Telenor A/S	Telenor DK	Telenor DK	TelenoDK	2100 (3G)	238	77		894502	2014-12-03
DNK	Telenor A/S	Telenor DK	Telenor DK	TelenoDK	900 (3G)	238	02		894502	2014-12-03
DNK	Telenor A/S	Telia-Telenor DK	Telia-Telenor DK	TT DK	900 (GSM)	238	66		894502	2014-12-03
DNK	Telenor A/S	Telia-Telenor DK	Telia-Telenor DK	TT DK	1800 (GSM)	238	66		894502	2014-12-03
DNK	Telenor A/S	Telia-Telenor DK	Telia-Telenor DK	TT DK	900 (3G)	238	66		894502	2014-12-03
DNK	Telenor A/S	Telia-Telenor DK	Telia-Telenor DK	TT DK	2100 (3G)	238	66		894502	2014-12-03
DNK	Telia Nattjanster Norden AB	TeliaSonera DK	Telia DK	Telia	1800 (GSM)	238	20	1	894504	2013-01-28
DNK	Telia Nattjanster Norden AB	TeliaSonera DK	Telia DK	Telia	900 (GSM)	238	20	1	894504	2013-01-28
DNK	Telia Nattjanster Norden AB	TeliaSonera DK	Telia-Telenor DK	TT DK	2100 (3G)	238	66		894504	2012-12-12
DNK	Telia Nattjanster Norden AB	TeliaSonera DK	Telia-Telenor DK	TT DK	900 (GSM)	238	66	"1,5"	894504	2012-12-12
DNK	Telia Nattjanster Norden AB	TeliaSonera DK	Telia-Telenor DK	TT DK	1800 (GSM)	238	66	"1,5"	894504	2012-12-12
DNK	Telia Nattjanster Norden AB	TeliaSonera DK	Telia DK	Telia	2100 (3G)	238	20		894504	2013-01-28
DOM	"Compa?ia Dominicana de Telefonos, S.A."	CLARO GSM	CLARO DOM	ClaroDOM	850 (GSM)	370	02	"0,1"	890102	2012-03-05
DOM	"Compa?ia Dominicana de Telefonos, S.A."	CLARO GSM	CLARO DOM	ClaroDOM	1900 (GSM)	370	02	"0,1"	890102	2012-03-05
DOM	"Compa?ia Dominicana de Telefonos, S.A."	"Compa?ia Dominicana de Telefonos, S.A."	CLARO DOM	ClaroDOM	850 (3G)	370	02		890102	2012-07-05
DOM	Orange Dominicana S.A.	ORANGE	Orange	Orange	1800 (GSM)	370	01	0	890101	2013-02-20
DOM	Orange Dominicana S.A.	ORANGE	Orange	Orange	1900 (GSM)	370	01	0	890101	2013-02-20
DOM	Orange Dominicana S.A.	ORANGE	Orange	Orange	900 (GSM)	370	01	0	890101	2013-02-20
DOM	Trilogy Dominicana S.A.	Trilogy Dominicana	VIVA	VIVA	1900 (GSM)	370	04			2011-08-05
DZA	ATM MOBILIS	Mobilis	ALG Mobilis	Mobilis	1800 (GSM)	603	01	5	8921301	2005-02-17
DZA	ATM MOBILIS	Mobilis	ALG Mobilis	Mobilis	900 (GSM)	603	01	5	8921301	2005-02-17
DZA	Orascom Telecom Algerie Spa	Djezzy	Djezzy	Djezzy	900 (GSM)	603	02	"0,3"	8921302	2012-07-05
DZA	Orascom Telecom Algerie Spa	Djezzy	Djezzy	Djezzy	1800 (GSM)	603	02	"0,3"	8921302	2012-07-05
DZA	Wataniya T?l?com Alg?rie	Ooredoo Algerie	Ooredoo 	Ooredoo	900 (GSM)	603	03		8921303	2014-03-20
DZA	Wataniya T?l?com Alg?rie	Ooredoo Algerie	Ooredoo 	Ooredoo	1800 (GSM)	603	03		8921303	2014-03-20
ECU	Conecel S.A. (Consorcio Ecuatoriano de Telecomunicaciones S.A.)	Claro Ecuador	CLARO	CLARO	850 (3G)	740	01		8959301	2012-07-05
ECU	Conecel S.A. (Consorcio Ecuatoriano de Telecomunicaciones S.A.)	Claro Ecuador	CLARO	CLARO	850 (GSM)	740	01		8959301	2012-07-05
ECU	Corporaci?n Nacional de Telecomunicaciones CNT E.P.	CNT	CNT	CNT	1900 (GSM)	740	02		8959302	2014-07-02
ECU	Otecel Sociedad An?nima	MOVISTAR	Movistar	Movistar	2100 (3G)	740	00		8959300	2015-01-05
ECU	Otecel Sociedad An?nima	MOVISTAR	Movistar	Movistar	850 (GSM)	740	00	"0,7"	8959300	2015-01-05
EGY	ECMS-Mobinil	Mobinil	EGY MobiNiL	MobiNiL	900 (GSM)	602	01		8920012	2012-07-05
EGY	Etisalat Misr	Etisalat	Etisalat	Etisalat	2100 (3G)	602	03		8920033	2013-02-20
EGY	Etisalat Misr	Etisalat	Etisalat	Etisalat	1800 (GSM)	602	03		8920033	2013-02-20
EGY	Etisalat Misr	Etisalat	Etisalat	Etisalat	900 (GSM)	602	03		8920033	2013-02-20
EGY	Vodafone Egypt Telecommunications S.A.E	vodafone	vodafone EG	voda EG	900 (GSM)	602	02	"0,4"	892002	2013-04-09
ESP	France Telecom Espa?a S.A.U.	Orange	Orange	Orange	2100 (3G)	214	03		893401	2012-07-05
